Dates;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1980-11-11;;;;;16,096511627906978;;;;;;;;;;;;;;;
1980-11-12;;;;;15,843720930232557;;;;;;;;;;;;;;;
1980-11-13;;;;;15,884418604651163;;;;;;;;;;;;;;;
1980-11-14;;;;;15,944651162790697;;;;;;;;;;;;;;;
1980-11-17;;;;;16,000697674418607;;;;;;;;;;;;;;;
1980-11-18;;;;;15,934418604651162;;;;;;;;;;;;;;;
1980-11-19;;;;;15,77813953488372;;;;;;;;;;;;;;;
1980-11-20;;;;;15,843953488372094;;;;;;;;;;;;;;;
1980-11-21;;;;;15,516744186046513;;;;;;;;;;;;;;;
1980-11-24;;;;;15,558837209302325;;;;;;;;;;;;;;;
1980-11-25;;;;;14,02046511627907;;;;;;;;;;;;;;;
1980-11-26;;;;;14,022790697674418;;;;;;;;;;;;;;;
1980-11-27;;;;;14,05860465116279;;;;;;;;;;;;;;;
1980-11-28;;;;;14,04139534883721;;;;;;;;;;;;;;;
1980-12-01;;;;;14,121627906976745;;;;;;;;;;;;;;;
1980-12-02;;;;;14,19;;;;;;;;;;;;;;;
1980-12-03;;;;;14,19;;;;;;;;;;;;;;;
1980-12-04;;;;;14,25;;;;;;;;;;;;;;;
1980-12-05;;;;;14,19;;;;;;;;;;;;;;;
1980-12-08;;;;;14,19;;;;;;;;;;;;;;;
1980-12-09;;;;;14,14;;;;;;;;;;;;;;;
1980-12-10;;;;;14,17;;;;;;;;;;;;;;;
1980-12-11;;;;;13,16;;;;;;;;;;;;;;;
1980-12-12;;;;;14,16;;;;;;;;;;;;;;;
1980-12-15;;;;;14,14;;;;;;;;;;;;;;;
1980-12-16;;;;;14,19;;;;;;;;;;;;;;;
1980-12-17;;;;;14,19;;;;;;;;;;;;;;;
1980-12-18;;;;;14,19;;;;;;;;;;;;;;;
1980-12-19;;;;;14,16;;;;;;;;;;;;;;;
1980-12-22;;;;;14,19;;;;;;;;;;;;;;;
1980-12-23;;;;;14,25;;;;;;;;;;;;;;;
1980-12-24;;;;;14,28;;;;;;;;;;;;;;;
1980-12-25;;;;;14,28;;;;;;;;;;;;;;;
1980-12-26;;;;;14,28;;;;;;;;;;;;;;;
1980-12-29;;;;;14,44;;;;;;;;;;;;;;;
1980-12-30;;;;;14,59;;;;;;;;;;;;;;;
1980-12-31;;;;;14,5;;;;;;;;;;;;;;;
1981-01-01;;;;;14,25581395348837;;;;;;;;;;;;;;;
1981-01-02;;;;;14,203023255813953;;;;;;;;;;;;;;;
1981-01-05;;;;;13,905813953488373;;;;;;;;;;;;;;;
1981-01-06;;;;;13,947209302325582;;;;;;;;;;;;;;;
1981-01-07;;;;;13,733023255813954;;;;;;;;;;;;;;;
1981-01-08;;;;;13,724418604651163;;;;;;;;;;;;;;;
1981-01-09;;;;;13,710465116279071;;;;;;;;;;;;;;;
1981-01-12;;;;;13,74767441860465;;;;;;;;;;;;;;;
1981-01-13;;;;;13,734883720930233;;;;;;;;;;;;;;;
1981-01-14;;;;;13,70906976744186;;;;;;;;;;;;;;;
1981-01-15;;;;;13,7246511627907;;;;;;;;;;;;;;;
1981-01-16;;;;;13,698837209302324;;;;;;;;;;;;;;;
1981-01-19;;;;;13,640930232558139;;;;;;;;;;;;;;;
1981-01-20;;;;;13,46860465116279;;;;;;;;;;;;;;;
1981-01-21;;;;;13,468837209302327;;;;;;;;;;;;;;;
1981-01-22;;;;;13,40813953488372;;;;;;;;;;;;;;;
1981-01-23;;;;;13,434883720930232;;;;;;;;;;;;;;;
1981-01-26;;;;;13,4146511627907;;;;;;;;;;;;;;;
1981-01-27;;;;;13,376046511627907;;;;;;;;;;;;;;;
1981-01-28;;;;;13,355581395348837;;;;;;;;;;;;;;;
1981-01-29;;;;;13,38093023255814;;;;;;;;;;;;;;;
1981-01-30;;;;;13,293023255813953;;;;;;;;;;;;;;;
1981-02-02;;;;;13,192790697674418;;;;;;;;;;;;;;;
1981-02-03;;;;;13,192558139534885;;;;;;;;;;;;;;;
1981-02-04;;;;;13,158837209302327;;;;;;;;;;;;;;;
1981-02-05;;;;;13,184418604651164;;;;;;;;;;;;;;;
1981-02-06;;;;;13,206511627906977;;;;;;;;;;;;;;;
1981-02-09;;;;;13,25511627906977;;;;;;;;;;;;;;;
1981-02-10;;;;;13,264418604651162;;;;;;;;;;;;;;;
1981-02-11;;;;;13,223488372093023;;;;;;;;;;;;;;;
1981-02-12;;;;;13,204186046511627;;;;;;;;;;;;;;;
1981-02-13;;;;;13,20139534883721;;;;;;;;;;;;;;;
1981-02-16;;;;;13,242325581395349;;;;;;;;;;;;;;;
1981-02-17;;;;;13,098837209302324;;;;;;;;;;;;;;;
1981-02-18;;;;;13,218372093023255;;;;;;;;;;;;;;;
1981-02-19;;;;;13,242325581395349;;;;;;;;;;;;;;;
1981-02-20;;;;;13,29627906976744;;;;;;;;;;;;;;;
1981-02-23;;;;;13,19;;;;;;;;;;;;;;;
1981-02-24;;;;;13,11046511627907;;;;;;;;;;;;;;;
1981-02-25;;;;;13,063720930232558;;;;;;;;;;;;;;;
1981-02-26;;;;;13,16093023255814;;;;;;;;;;;;;;;
1981-02-27;;;;;13,248837209302325;;;;;;;;;;;;;;;
1981-03-02;;;;;13,28;;;;;;;;;;;;;;;
1981-03-03;;;;;13,25;;;;;;;;;;;;;;;
1981-03-04;;;;;13,22;;;;;;;;;;;;;;;
1981-03-05;;;;;13,09;;;;;;;;;;;;;;;
1981-03-06;;;;;13,0;;;;;;;;;;;;;;;
1981-03-09;;;;;12,34;;;;;;;;;;;;;;;
1981-03-10;;;;;12,25;;;;;;;;;;;;;;;
1981-03-11;;;;;12,03;;;;;;;;;;;;;;;
1981-03-12;;;;;12,06;;;;;;;;;;;;;;;
1981-03-13;;;;;12,06;;;;;;;;;;;;;;;
1981-03-16;;;;;11,94;;;;;;;;;;;;;;;
1981-03-17;;;;;12,03;;;;;;;;;;;;;;;
1981-03-18;;;;;12,03;;;;;;;;;;;;;;;
1981-03-19;;;;;11,86;;;;;;;;;;;;;;;
1981-03-20;;;;;11,97;;;;;;;;;;;;;;;
1981-03-23;;;;;11,95;;;;;;;;;;;;;;;
1981-03-24;;;;;11,97;;;;;;;;;;;;;;;
1981-03-25;;;;;11,83;;;;;;;;;;;;;;;
1981-03-26;;;;;11,97;;;;;;;;;;;;;;;
1981-03-27;;;;;11,95;;;;;;;;;;;;;;;
1981-03-30;;;;;11,94;;;;;;;;;;;;;;;
1981-03-31;;;;;11,72;;;;;;;;;;;;;;;
1981-04-01;;;;;11,72;;;;;;;;;;;;;;;
1981-04-02;;;;;11,677209302325581;;;;;;;;;;;;;;;
1981-04-03;;;;;11,463255813953488;;;;;;;;;;;;;;;
1981-04-06;;;;;11,633023255813953;;;;;;;;;;;;;;;
1981-04-07;;;;;11,686046511627906;;;;;;;;;;;;;;;
1981-04-08;;;;;11,656744186046513;;;;;;;;;;;;;;;
1981-04-09;;;;;11,649069767441858;;;;;;;;;;;;;;;
1981-04-10;;;;;11,67232558139535;;;;;;;;;;;;;;;
1981-04-13;;;;;11,643953488372095;;;;;;;;;;;;;;;
1981-04-14;;;;;11,715116279069766;;;;;;;;;;;;;;;
1981-04-15;;;;;11,36186046511628;;;;;;;;;;;;;;;
1981-04-16;;;;;11,613953488372093;;;;;;;;;;;;;;;
1981-04-17;;;;;11,619767441860464;;;;;;;;;;;;;;;
1981-04-20;;;;;11,625581395348838;;;;;;;;;;;;;;;
1981-04-21;;;;;11,61139534883721;;;;;;;;;;;;;;;
1981-04-22;;;;;11,587209302325583;;;;;;;;;;;;;;;
1981-04-23;;;;;11,566744186046513;;;;;;;;;;;;;;;
1981-04-24;;;;;11,344186046511627;;;;;;;;;;;;;;;
1981-04-27;;;;;11,592093023255813;;;;;;;;;;;;;;;
1981-04-28;;;;;11,613953488372093;;;;;;;;;;;;;;;
1981-04-29;;;;;11,656976744186046;;;;;;;;;;;;;;;
1981-04-30;;;;;11,63813953488372;;;;;;;;;;;;;;;
1981-05-01;;;;;11,47953488372093;;;;;;;;;;;;;;;
1981-05-04;;;;;11,488604651162788;;;;;;;;;;;;;;;
1981-05-05;;;;;11,773720930232559;;;;;;;;;;;;;;;
1981-05-06;;;;;11,688139534883723;;;;;;;;;;;;;;;
1981-05-07;;;;;11,650465116279069;;;;;;;;;;;;;;;
1981-05-08;;;;;11,498372093023256;;;;;;;;;;;;;;;
1981-05-11;;;;;11,604186046511629;;;;;;;;;;;;;;;
1981-05-12;;;;;11,647674418604652;;;;;;;;;;;;;;;
1981-05-13;;;;;11,650697674418604;;;;;;;;;;;;;;;
1981-05-14;;;;;11,603488372093024;;;;;;;;;;;;;;;
1981-05-15;;;;;11,664418604651162;;;;;;;;;;;;;;;
1981-05-18;;;;;11,64906976744186;;;;;;;;;;;;;;;
1981-05-19;;;;;11,603488372093024;;;;;;;;;;;;;;;
1981-05-20;;;;;11,583953488372092;;;;;;;;;;;;;;;
1981-05-21;;;;;11,656976744186046;;;;;;;;;;;;;;;
1981-05-22;;;;;11,58581395348837;;;;;;;;;;;;;;;
1981-05-25;;;;;11,586511627906976;;;;;;;;;;;;;;;
1981-05-26;;;;;11,742558139534884;;;;;;;;;;;;;;;
1981-05-27;;;;;11,729302325581395;;;;;;;;;;;;;;;
1981-05-28;;;;;11,72953488372093;;;;;;;;;;;;;;;
1981-05-29;;;;;11,75;;;;;;;;;;;;;;;
1981-06-01;;;;;11,8;;;;;;;;;;;;;;;
1981-06-02;;;;;11,75;;;;;;;;;;;;;;;
1981-06-03;;;;;11,61;;;;;;;;;;;;;;;
1981-06-04;;;;;11,77;;;;;;;;;;;;;;;
1981-06-05;;;;;11,81;;;;;;;;;;;;;;;
1981-06-08;;;;;12,03;;;;;;;;;;;;;;;
1981-06-09;;;;;12,0;;;;;;;;;;;;;;;
1981-06-10;;;;;11,72;;;;;;;;;;;;;;;
1981-06-11;;;;;11,75;;;;;;;;;;;;;;;
1981-06-12;;;;;11,69;;;;;;;;;;;;;;;
1981-06-15;;;;;11,75;;;;;;;;;;;;;;;
1981-06-16;;;;;11,78;;;;;;;;;;;;;;;
1981-06-17;;;;;11,75;;;;;;;;;;;;;;;
1981-06-18;;;;;11,75;;;;;;;;;;;;;;;
1981-06-19;;;;;11,75;;;;;;;;;;;;;;;
